food_id,food_name,genus,species,food_group,food_subgroup
220,Cascade Blueberry,Vaccinium,deliciosum,Fruits,Berries
221,Oval-leaf Blueberry,Vaccinium,ovalifolium,Fruits,Berries
222,Evergreen Huckleberry,Vaccinium,ovatum,Fruits,Berries
223,Red Huckleberry,Vaccinium,parvifolium,Fruits,Berries
224,Longan,Dimocarpus,longan,Fruits,Tropical fruits
225,Macadamia Nut,Macadamia,tetraphylla,Nuts,Nuts
226,Onion,Allium,cepa,Vegetables,Onion-family vegetables
227,Summer Grape,Vitis,aestivalis,Fruits,Berries
228,Fox Grape,Vitis,labrusca,Fruits,Berries
229,Nectarine,Prunus,persica,Fruits,Drupes
230,Peach,Prunus,persica,Fruits,Drupes
231,"Pepper Cultivar (Amarillo, Lemon Drop etc.)",Capsicum,baccatum,Vegetables,Fruit vegetables
232,"Pepper Cultivar (Habanero, Scotch Bonnet etc.)",Capsicum,chinense,Vegetables,Fruit vegetables
233,Capsicum sp. (Pepper),Capsicum,,Vegetables,Fruit vegetables
234,Rambutan,Nephelium,lappaceum,Fruits,Tropical fruits
235,Asian Wild Rice,Oryza,rufipogon,Cereals and cereal products,Cereals
236,Southern Wild Rice,Zizania,aquatica,Cereals and cereal products,Cereals
237,Swiss Chard,Beta,vulgaris,Vegetables,Leaf vegetables
238,Lemon Thyme,Thymus,pulegioides,Herbs and Spices,Herbs
